,error rate,total produced,production speed [PC / min]
2054,0.2440845514775476,9509,35.61423220973783
2055,0.12430491195551437,17264,35.96666666666667
2056,0.197487922705314,10350,38.191881918819185
2091,0.4516188037314798,5467,32.73652694610779
2092,0.3035703080880969,15937,33.202083333333334
2093,0.5698710073710074,13024,36.17777777777778
2143,0.9444829979181124,1441,26.685185185185187
2144,0.040360046457607435,17220,35.875
2145,0.19143912332748078,16517,34.41041666666667
2146,0.38636363636363635,220,44.0
2179,0.17587343441001976,15170,34.793577981651374
2180,0.1049096528768426,16824,35.05
2181,0.06339754816112084,2855,36.6025641025641
2214,0.14431946006749155,8890,33.421052631578945
2215,0.1106562240417705,16854,35.1125
2216,0.11613542334362799,17161,35.75208333333333
2217,1.0,616,26.782608695652176
2264,0.20630245913709322,13582,35.09560723514212
2265,0.08697206171442187,16787,34.97291666666667
2266,0.13581740462940559,12399,35.93913043478261
2300,0.27778257490717556,11581,33.76384839650146
2301,0.11156982144700175,9689,36.98091603053435
2353,0.23403089733756985,9127,33.06884057971015
2354,0.10249570217558836,16869,35.14375
2355,0.053136531365313655,17615,36.697916666666664
2356,0.0703205791106515,16439,36.77628635346756
2381,0.10371863799283154,8928,35.712
2382,0.20314573931510485,15068,31.391666666666666
2383,0.09369988545246277,17460,36.375
2384,0.035583941605839414,14248,36.72164948453608
2415,0.34096858638743455,6112,26.00851063829787
2416,0.25665875974246016,14755,30.739583333333332
2417,0.13551566349876804,14205,29.59375
2472,1.0,338,16.095238095238095
2473,0.07779221512908875,17701,36.87708333333333
2474,0.11825883727724218,17115,35.65625
2475,0.09388646288209607,2290,37.540983606557376
2512,0.15533213644524238,13925,34.129901960784316
2513,0.15015558698727016,17675,36.822916666666664
2514,0.0481651376146789,3052,37.67901234567901
2550,0.18982229402261713,16094,33.8109243697479
2551,0.09050005112997239,9779,37.041666666666664
2582,0.1357169253510717,10824,35.029126213592235
2583,0.058466211085801065,17121,35.66875
2584,0.1342831160957866,3299,38.36046511627907
2602,0.23267508892432234,8153,32.22529644268775
2603,0.14605765890934352,17274,35.9875
2604,0.051998700032499186,6154,37.0722891566265
2621,0.12203170494985442,15455,34.192477876106196
2622,0.13556338028169015,2272,39.172413793103445
2642,0.13537696768848384,12070,34.38746438746439
2643,0.06711369919416504,17001,35.41875
2644,0.062009329844123336,8789,36.77405857740586
2703,,0,0.0
2704,0.14257750836648356,15837,32.99375
2705,0.15207715133531158,17524,36.50833333333333
2706,0.0910556484356341,16748,34.891666666666666
2707,0.2152097216777734,15306,31.8875
2708,0.0762966896795893,16947,35.30625
2709,0.06191348134584573,17476,36.40833333333333
2710,0.09281077182014907,16636,34.65833333333333
2711,0.07237643438681966,15599,36.703529411764706
2741,0.14794078572784208,10538,22.613733905579398
2742,0.5145722937168812,5284,11.008333333333333
2743,0.16579270333593663,8963,36.4349593495935
2768,,0,0.0
2769,,0,0.0
2770,0.21532216272240456,11578,24.120833333333334
2771,0.15289543924799814,17234,35.90416666666667
2772,0.12891756649986832,7594,37.40886699507389
2815,0.8146079964261782,4477,21.839024390243903
2916,0.33996937212863704,3265,25.310077519379846
2917,0.056939704209328784,17580,36.625
2918,0.30460448642266824,16940,35.291666666666664
2919,0.1252612096244552,16749,34.89375
2920,0.04626187525815779,16947,37.08315098468271
2951,0.06273853364579846,14935,34.333333333333336
2952,0.049730168862066965,17233,35.90208333333333
2953,0.0187985014717688,14948,36.81773399014779
3032,0.13319909695527488,16389,34.430672268907564
3033,0.04897959183673469,17640,36.75
3034,0.05006121616106652,7351,36.93969849246231
3101,0.14856864247405446,14357,32.046875
3102,0.11615076369127127,17219,35.87291666666667
3103,0.04706082229018009,17658,36.7875
3104,0.09746568109820486,9470,37.28346456692913
3163,0.09828690084789755,5779,29.788659793814432
3164,0.08343551118117593,17127,35.68125
3165,0.05958230958230958,9768,36.86037735849057
3208,0.6449704142011834,507,23.045454545454547
3209,0.18557126030624263,16980,35.375
3210,0.0490307221403469,17642,36.75416666666667
3211,0.07290533188248095,919,38.291666666666664
3220,0.05696344471854676,13377,34.565891472868216
3221,0.08331511043078942,13719,35.358247422680414
3633,0.2358974358974359,3120,28.363636363636363
3634,0.10367097212780421,17652,36.775
3635,0.07421236872812136,17140,35.708333333333336
3636,0.06267014519056262,17632,36.733333333333334
3637,0.036221366820218336,15847,36.853488372093025
3671,0.20078912757562473,4562,31.246575342465754
3672,0.1915976254158784,15329,31.935416666666665
3673,0.2577575229542256,14921,31.085416666666667
3674,0.1863450923926086,16668,34.725
3675,0.16423201515799768,16361,34.08541666666667
3676,0.2989309210526316,2432,38.0
3704,0.07360213008748574,10516,34.36601307189542
3705,0.05506709856547894,2161,37.91228070175438
3759,0.4299947561615102,1907,25.092105263157894
3760,0.037528344671201815,17640,36.75
3761,0.10027744748315498,17661,36.79375
3762,0.1195150115473441,1732,39.36363636363637
3825,0.18814378810174479,9514,34.722627737226276
3826,0.09379334257975035,17304,36.05
3827,0.13185206841105102,6841,41.46060606060606
