Line,production day,shift,from,till,Code,Stof-Snelheid-Profiel,IO parts,NIO parts
103,1/23/2022,night,23/01/22 21:55,24/01/22 5:55,3057,ND-20m-79.xxx,4117,5382
103,1/24/2022,early,24/01/22 5:55,24/01/22 13:55,3057,ND-20m-79.xxx,1781,2857
103,1/24/2022,late,24/01/22 13:55,24/01/22 14:17,3057,ND-20m-79.xxx,3,33
103,1/24/2022,late,24/01/22 14:17,24/01/22 21:55,3005,FX-16m-37.xxx,0,0
103,1/24/2022,night,24/01/22 21:55,25/01/22 5:55,3005,FX-16m-37.xxx,0,0
103,1/25/2022,early,25/01/22 5:55,25/01/22 13:55,3005,FX-16m-37.xxx,6367,1369
103,1/25/2022,late,25/01/22 13:55,25/01/22 21:55,3005,FX-16m-37.xxx,7168,903
103,1/25/2022,night,25/01/22 21:55,26/01/22 5:55,3005,FX-16m-37.xxx,6935,928
103,1/26/2022,early,26/01/22 5:55,26/01/22 13:55,3005,FX-16m-37.xxx,7231,859
103,1/26/2022,late,26/01/22 13:55,26/01/22 21:55,3005,FX-16m-37.xxx,6457,1480
103,1/26/2022,night,26/01/22 21:55,27/01/22 5:55,3005,FX-16m-37.xxx,7222,873
103,1/27/2022,early,27/01/22 5:55,27/01/22 8:09,3005,FX-16m-37.xxx,2085,211
103,1/27/2022,early,27/01/22 8:09,27/01/22 13:55,3006,FX-16m-37.xxx,3138,1616
103,1/27/2022,late,27/01/22 13:55,27/01/22 21:55,3006,FX-16m-37.xxx,7193,854
103,1/27/2022,night,27/01/22 21:55,28/01/22 1:13,3006,FX-16m-37.xxx,2678,655
103,1/27/2022,night,28/01/22 1:13,28/01/22 5:28,3007,FX-20m-37.xxx,4264,882
103,1/27/2022,night,28/01/22 5:28,28/01/22 5:55,3004,FX-14m-18.xx,2,290
103,1/28/2022,early,28/01/22 5:55,28/01/22 13:55,3004,FX-14m-18.xx,3329,1360
103,1/28/2022,late,28/01/22 13:55,28/01/22 21:55,3004,FX-14m-18.xx,6193,958
103,1/28/2022,night,28/01/22 21:55,29/01/22 0:58,3004,FX-14m-18.xx,2255,533
103,1/28/2022,night,29/01/22 0:58,29/01/22 5:55,3005,FX-16m-37.xxx,3355,1231
103,1/29/2022,early,29/01/22 5:55,29/01/22 13:55,3005,FX-16m-37.xxx,6453,1402
103,1/30/2022,night,30/01/22 21:55,31/01/22 5:55,3005,FX-16m-37.xxx,6836,1178
103,1/31/2022,early,31/01/22 5:55,31/01/22 6:02,3005,FX-16m-37.xxx,117,9
103,1/31/2022,early,31/01/22 6:02,31/01/22 11:12,3007,FX-20m-37.xxx,5433,1008
103,1/31/2022,early,31/01/22 11:12,31/01/22 12:50,3006,FX-16m-37.xxx,1065,469
103,1/31/2022,early,31/01/22 12:50,31/01/22 13:55,3008,FX-20m-18.xx,504,490
103,1/31/2022,late,31/01/22 13:55,31/01/22 19:04,3008,FX-20m-18.xx,4613,1226
103,1/31/2022,late,31/01/22 19:04,31/01/22 21:55,3006,FX-16m-37.xxx,2032,320
103,1/31/2022,night,31/01/22 21:55,31/01/22 23:21,3006,FX-16m-37.xxx,1394,65
103,1/31/2022,night,31/01/22 23:21,1/02/22 5:55,3005,FX-16m-37.xxx,5190,1296
103,2/1/2022,early,1/02/22 5:55,1/02/22 13:55,3005,FX-16m-37.xxx,6130,1675
103,2/1/2022,late,1/02/22 13:55,1/02/22 21:55,3005,FX-16m-37.xxx,6132,1231
103,2/1/2022,night,1/02/22 21:55,2/02/22 5:55,3005,FX-16m-37.xxx,5857,910
103,2/2/2022,early,2/02/22 5:55,2/02/22 13:55,3005,FX-16m-37.xxx,5734,1173
103,2/2/2022,late,2/02/22 13:55,2/02/22 21:55,3005,FX-16m-37.xxx,4268,715
103,2/2/2022,night,2/02/22 21:55,3/02/22 5:55,3005,FX-16m-37.xxx,4310,2446
103,2/3/2022,early,3/02/22 5:55,3/02/22 7:15,3005,FX-16m-37.xxx,900,303
103,2/3/2022,early,3/02/22 7:15,3/02/22 13:55,3006,FX-16m-37.xxx,5858,572
103,2/3/2022,late,3/02/22 13:55,3/02/22 16:08,3006,FX-16m-37.xxx,1781,356
103,2/3/2022,late,3/02/22 16:08,3/02/22 21:55,3053,NU-20m-80.xx,3090,1932
103,2/3/2022,night,3/02/22 21:55,4/02/22 5:55,3053,NU-20m-80.xx,8806,1320
103,2/4/2022,early,4/02/22 5:55,4/02/22 13:55,3053,NU-20m-80.xx,6988,3139
103,2/4/2022,late,4/02/22 13:55,4/02/22 21:55,3053,NU-20m-80.xx,8392,1735
103,2/4/2022,night,4/02/22 21:55,5/02/22 5:55,3053,NU-20m-80.xx,9246,882
103,2/5/2022,early,5/02/22 5:55,5/02/22 13:55,3053,NU-20m-80.xx,9515,611
103,2/6/2022,night,6/02/22 21:55,7/02/22 5:55,3052,NU-22m-68.xxx,8997,2305
103,2/7/2022,early,7/02/22 5:55,7/02/22 13:55,3052,NU-22m-68.xxx,9541,1763
103,2/7/2022,late,7/02/22 13:55,7/02/22 21:55,3052,NU-22m-68.xxx,10248,1055
103,2/7/2022,night,7/02/22 21:55,8/02/22 5:55,3052,NU-22m-68.xxx,8868,2434
103,2/8/2022,early,8/02/22 5:55,8/02/22 13:55,3052,NU-22m-68.xxx,9866,1422
103,2/8/2022,late,8/02/22 13:55,8/02/22 21:55,3052,NU-22m-68.xxx,10485,768
103,2/8/2022,night,8/02/22 21:55,9/02/22 5:55,3052,NU-22m-68.xxx,10468,785
103,2/9/2022,early,9/02/22 5:55,9/02/22 9:48,3052,NU-22m-68.xxx,5117,352
103,2/9/2022,early,9/02/22 9:48,9/02/22 13:55,3053,NU-20m-80.xx,3977,859
103,2/9/2022,late,9/02/22 13:55,9/02/22 21:55,3053,NU-20m-80.xx,9124,907
103,2/9/2022,night,9/02/22 21:55,10/02/22 5:55,3053,NU-20m-80.xx,8720,1160
103,2/10/2022,early,10/02/22 5:55,10/02/22 13:55,3053,NU-20m-80.xx,9106,1023
103,2/10/2022,late,10/02/22 13:55,10/02/22 19:25,3053,NU-20m-80.xx,6533,427
103,2/10/2022,late,10/02/22 19:25,10/02/22 21:55,3004,FX-14m-18.xx,76,278
103,2/10/2022,night,10/02/22 21:55,11/02/22 5:55,3004,FX-14m-18.xx,6094,948
103,2/11/2022,early,11/02/22 5:55,11/02/22 7:45,3004,FX-14m-18.xx,1568,107
103,2/11/2022,early,11/02/22 7:45,11/02/22 9:02,3008,FX-20m-18.xx,625,694
103,2/11/2022,early,11/02/22 9:02,11/02/22 13:55,3006,FX-16m-37.xxx,2469,1056
103,2/11/2022,late,11/02/22 13:55,11/02/22 14:24,3006,FX-16m-37.xxx,452,52
103,2/11/2022,late,11/02/22 14:24,11/02/22 19:47,3008,FX-20m-18.xx,5344,636
103,2/11/2022,late,11/02/22 19:47,11/02/22 21:55,3007,FX-20m-37.xxx,1996,502
103,2/11/2022,night,11/02/22 21:55,12/02/22 4:26,3007,FX-20m-37.xxx,7819,368
103,2/11/2022,night,12/02/22 4:26,12/02/22 5:55,3006,FX-16m-37.xxx,884,501
103,2/12/2022,early,12/02/22 5:55,12/02/22 13:55,3006,FX-16m-37.xxx,6533,777
103,2/14/2022,early,14/02/22 5:55,14/02/22 13:55,3058,ND-22m-143.xxx,0,617
103,2/14/2022,late,14/02/22 13:55,14/02/22 21:55,3058,ND-22m-143.xxx,7305,3179
103,2/14/2022,night,14/02/22 21:55,15/02/22 5:55,3058,ND-22m-143.xxx,8041,1450
103,2/15/2022,early,15/02/22 5:55,15/02/22 7:22,3058,ND-22m-143.xxx,1737,270
103,2/15/2022,early,15/02/22 7:22,15/02/22 13:55,3057,ND-20m-79.xxx,1401,3898
103,2/15/2022,late,15/02/22 13:55,15/02/22 20:06,3057,ND-20m-79.xxx,3413,3807
103,2/15/2022,late,15/02/22 20:06,15/02/22 21:55,3005,FX-16m-37.xxx,0,0
103,2/15/2022,night,15/02/22 21:55,16/02/22 5:55,3005,FX-16m-37.xxx,5429,1493
