,error rate,total produced,production speed [PC / min]
29,0.5092592592592593,2700,9.712230215827338
30,0.09520047402725657,10126,21.095833333333335
31,0.1266910239952602,10127,21.097916666666666
32,0.11106723269819331,10129,21.102083333333333
33,0.09873617693522907,10128,21.1
34,0.09654491609081935,10130,21.104166666666668
35,0.0455173775671406,10128,21.1
36,0.06140783887846776,10129,21.102083333333333
37,0.06015491399255608,9941,21.10615711252654
41,0.19726729291204098,2342,18.296875
42,0.06056475170399221,10270,21.395833333333332
43,0.08531359563693026,10268,21.391666666666666
44,0.09854903106436849,10269,21.39375
45,0.06748466257668712,10269,21.39375
46,0.04450287272373162,10269,21.39375
47,0.05365141187925998,10270,21.395833333333332
48,0.07809913331385725,10269,21.39375
49,0.09006815968841285,10270,21.395833333333332
50,0.24799010513296227,1617,18.802325581395348
102,0.3847072879330944,5022,14.472622478386167
103,0.13035749555599446,10126,21.095833333333335
104,0.3099634640071097,10127,21.097916666666666
105,0.1713241828774563,10127,21.097916666666666
106,0.08708530805687204,10128,21.1
107,0.060339719533873196,10126,21.095833333333335
116,0.17762613730355667,4836,19.57894736842105
117,0.09041969893330674,10031,20.897916666666667
118,0.11740890688259109,9880,20.583333333333332
119,0.10099713693355711,10129,21.102083333333333
120,0.06135057471264368,6960,21.09090909090909
188,1.0,1349,9.23972602739726
189,0.1161252098350943,10127,21.097916666666666
190,0.06783175355450237,10128,21.1
191,0.120197467267654,9318,19.4125
192,0.0879652482969691,10129,21.102083333333333
193,0.05449698884391352,10129,21.102083333333333
194,0.14547952047952048,8008,21.12928759894459
220,0.14129810453762207,5223,20.011494252873565
221,0.14466278266021526,10127,21.097916666666666
222,0.07712056877653797,10127,21.097916666666666
223,0.12903544278803436,10129,21.102083333333333
224,0.07475066653500544,10127,21.097916666666666
225,0.06285796105383734,6984,21.163636363636364
294,0.2566412213740458,6550,19.264705882352942
295,0.05933062880324544,3944,21.204301075268816
296,0.17194875252865813,2966,15.86096256684492
297,0.11484151278759751,10127,21.097916666666666
298,0.15692446043165467,8896,21.13064133016627
302,0.14473684210526316,6080,20.19933554817276
303,0.0872827804107425,10128,21.1
304,0.06892465685790461,10127,21.097916666666666
305,0.056581416016589316,10127,21.097916666666666
306,0.0625,10128,21.1
307,0.06171011058451817,10128,21.1
308,0.03347486916164708,10127,21.097916666666666
309,0.08263402112745583,10129,21.102083333333333
310,0.028072658645907054,4239,21.195
331,0.09151599443671767,3595,19.53804347826087
332,0.08452357659949129,10222,21.295833333333334
333,0.08374095089023674,10222,21.295833333333334
334,0.08501271766777539,10222,21.295833333333334
335,0.11483908833023575,10223,21.297916666666666
336,0.048522793973782036,10222,21.295833333333334
337,0.04597476278978773,10223,21.297916666666666
338,0.07004500097828213,10222,21.295833333333334
339,0.04021526418786693,10220,21.291666666666668
340,0.03218548229309333,10222,21.295833333333334
341,0.022207004500097827,10222,21.295833333333334
342,0.03282691264243082,7372,15.358333333333333
359,,0,0.0
360,0.08459112412705565,8878,18.495833333333334
361,0.0279324055666004,10060,20.958333333333332
362,0.049776513612352705,9844,20.508333333333333
363,0.03619998043244301,10221,21.29375
364,0.12619839561729604,10222,21.295833333333334
365,0.059289697681244494,10221,21.29375
366,0.03517536704730832,9808,20.433333333333334
377,0.5230312035661219,5384,14.281167108753316
378,0.17984907769703745,7156,14.908333333333333
409,0.14352053402989406,6891,20.327433628318584
410,0.029423380726698263,10128,21.1
411,0.04641058556334551,10127,21.097916666666666
412,0.16257179323548182,6268,13.058333333333334
469,,0,0.0
470,0.21457203489742985,4241,15.824626865671641
473,0.11691990728817925,3883,19.710659898477157
474,0.026760146143971562,10127,21.097916666666666
475,0.06794390677463955,10126,21.095833333333335
476,0.06940467963273768,10129,21.102083333333333
477,0.048587793798143396,10126,21.095833333333335
478,0.05115544143788268,10126,21.095833333333335
479,0.03880794701986755,7550,21.1484593837535
502,,0,0.0
503,0.10395735083042854,9754,20.320833333333333
504,0.06476453746667983,10129,21.102083333333333
505,0.15648119995946083,9867,20.55625
506,0.04285573220104671,10127,21.097916666666666
507,0.0641785150078989,10128,21.1
508,0.09212085308056872,10128,21.1
509,0.11315165876777251,10128,21.1
510,0.04580001974138782,10131,21.10625
511,0.05779204741911583,8098,21.143603133159267
518,0.5087579617834395,1256,8.155844155844155
519,0.04298535663675012,6351,21.17
600,1.0,50,1.0416666666666667
601,0.5624651110863013,8957,18.660416666666666
602,0.15025091016432157,10163,21.172916666666666
603,0.09197493430361836,9894,20.6125
604,0.09658479303258635,10219,21.289583333333333
605,0.0467847704805716,10217,21.285416666666666
606,0.13280860814984558,10037,20.910416666666666
607,0.12778864970645792,10220,21.291666666666668
608,0.09464617793872956,10217,21.285416666666666
609,0.247082195182518,4027,21.306878306878307
675,0.25085665334094803,7004,15.292576419213974
676,0.09260326609029779,10410,21.6875
677,0.060620616773945625,10409,21.685416666666665
678,0.020815986677768527,2402,21.836363636363636
730,0.36905871388630007,5365,13.686224489795919
731,0.06318491460163886,10129,21.102083333333333
732,0.07060333761232349,10127,21.097916666666666
733,0.0254739336492891,10128,21.1
734,0.03719856336582863,3898,21.184782608695652
743,0.09619512195121951,5125,20.25691699604743
744,0.031098825155494125,10129,21.102083333333333
745,0.035841232227488154,10128,21.1
746,0.07553317535545023,10128,21.1
747,0.0736499160825353,10129,21.102083333333333
748,0.025081465389552682,10127,21.097916666666666
749,0.06792828685258964,10040,20.916666666666668
750,0.10246315364425601,9906,20.6375
751,0.06152478767529133,10126,21.095833333333335
752,0.11412775199921019,10129,21.102083333333333
753,0.05636722606120435,10130,21.104166666666668
754,0.019642541143160504,5651,21.164794007490638
817,0.25180023228803716,8610,17.9375
818,0.034881422924901186,10120,21.083333333333332
819,0.04365442425826689,7651,15.939583333333333
872,0.20285359801488834,4836,13.546218487394958
873,0.07572317109290157,10129,21.102083333333333
874,0.042859964447955756,10126,21.095833333333335
875,0.024977786553460363,10129,21.102083333333333
876,0.032500246962362936,10123,21.089583333333334
877,0.05074538453944121,10129,21.102083333333333
878,0.0359364201796821,10129,21.102083333333333
879,0.04236200256739409,10127,21.097916666666666
880,0.1324191772595336,9991,21.122621564482028
891,,0,0.0
892,0.4732270347453594,8404,17.508333333333333
893,0.12891450528338136,10410,21.6875
894,0.05024498030550485,10409,21.685416666666665
895,0.09518179130948862,10149,21.14375
896,0.02238662567255957,10408,21.683333333333334
897,0.01408096555192356,7954,21.73224043715847
915,,0,0.0
916,0.35865550357054915,8122,16.920833333333334
917,0.10850034554250172,10129,21.102083333333333
918,0.05292259083728278,10128,21.1
919,0.054513134505234054,10126,21.095833333333335
920,0.07759897324513772,10129,21.102083333333333
921,0.046362515413070286,4055,21.119791666666668
936,0.3837916063675832,3455,7.924311926605505
937,0.13665086887835703,10128,21.1
938,0.08778512886343438,10127,21.097916666666666
939,0.25431078988125966,9685,20.177083333333332
940,0.12801628064734955,10319,21.497916666666665
941,0.13266183515538632,8141,21.480211081794195
952,0.3640495867768595,2420,9.236641221374045
953,0.17433366238894374,10130,21.104166666666668
954,0.09503111725772992,10123,21.089583333333334
955,0.10724494825036963,10145,21.135416666666668
956,0.10597905861630297,10219,21.289583333333333
957,0.11616754746525738,10218,21.2875
958,0.1080446271285966,10218,21.2875
959,0.07114895282834215,10218,21.2875
960,0.06292200802426852,10219,21.289583333333333
961,0.2049164208456244,10170,21.1875
962,0.06634700068499853,10219,21.289583333333333
963,0.16768772973919133,5713,11.902083333333334
3306,0.10239529345846757,7139,16.373853211009173
3307,0.1519099792715428,10131,21.10625
3308,0.055297718969092524,10127,21.097916666666666
3309,0.027251184834123223,10128,21.1
3310,0.03860203376443874,10129,21.102083333333333
3311,0.06486326389574489,10129,21.102083333333333
3312,0.05333333333333334,9975,20.78125
3313,0.020149496262593436,3077,21.220689655172414
3331,0.9038262668045501,967,5.969135802469136
3332,0.1578432438308512,9199,19.164583333333333
3333,0.08402777777777778,7200,21.114369501466275
3378,0.13838324525347426,5109,13.733870967741936
3379,0.07643689512146948,10126,21.095833333333335
3380,0.03821090047393365,10128,21.1
3381,0.04769899269207979,10126,21.095833333333335
3382,0.04187654320987654,10125,21.09375
3383,0.045818110002962376,10127,21.097916666666666
3384,0.040983606557377046,10126,21.095833333333335
3385,0.02767175572519084,3144,21.100671140939596
