Order,Starting time,End time,Execution time
213,0.0,1.7850129807446384,1.7850129807446384
214,5.9494347417557885,9.126634741755788,3.1772
215,13.0933133234062,16.0933633234062,3.00005
214,5.9494347417557885,37.53803474175579,1.5886
215,13.0933133234062,43.093813323406195,30.0005
216,19.631988587084354,55.950256893159505,6.318268306075156
215,13.0933133234062,58.0935633234062,15.00025
217,27.806892261398808,59.454242261398804,31.64735
218,34.490763661513654,107.9973922613988,18.54315
217,27.806892261398808,111.66413474175577,14.1261
218,34.490763661513654,112.8177633234062,24.7242
218,34.490763661513654,116.5404922613988,8.543099999999999
217,27.806892261398808,120.65895689315951,4.7087
219,41.74842646350808,134.0009422613988,17.460449999999998
220,48.39179250587291,137.5260268188609,3.5250845574621184
218,34.490763661513654,147.3595347417558,5.6954
219,41.74842646350808,149.4317633234062,36.614
217,27.806892261398808,150.1808133234062,47.087
219,41.74842646350808,156.47910689315952,5.82015
221,57.001856395354835,174.6018133234062,24.421
221,57.001856395354835,206.0733768188609,8.54735
221,57.001856395354835,214.6858347417558,7.3263
221,57.001856395354835,218.92120689315954,2.4421
221,57.001856395354835,221.64226332340618,12.2105
222,64.27082913244452,229.9872133234062,25.385399999999997
222,64.27082913244452,238.7660268188609,2.69265
222,64.27082913244452,246.4809347417558,1.7951
223,71.99571636594983,252.0654365924108,3.144229699251265
224,78.64550298348696,258.15901332340616,6.51675
225,85.36314443453884,259.0453551142563,6.979918521845503
226,93.0258054643844,265.11230511425634,6.06695
224,78.64550298348696,273.0207133234062,13.0335
224,78.64550298348696,273.9794268188609,5.2134
224,78.64550298348696,281.69433474175577,5.2134
227,100.17537132804485,299.9260531225196,4.813748008263226
226,93.0258054643844,312.4268133234062,24.2678
228,107.69458701005254,337.8861268188609,3.9067
228,107.69458701005254,344.1827133234062,11.162
228,107.69458701005254,345.04293474175574,3.3486
229,114.80226306091626,352.42781332340616,10.001
231,129.52713475383706,354.5475771432154,2.1197638198092243
228,107.69458701005254,361.0422531225196,1.1162
229,114.80226306091626,375.8869268188609,8.0008
230,122.72746446648743,381.01883474175577,5.9759
233,145.00308250400266,381.9714347417558,0.9526
234,152.2058610716429,386.3108886600809,4.339453918325114
235,158.2500024784194,388.0811886600809,1.7703
235,158.2500024784194,389.8514886600809,1.7703
236,162.4030785834148,390.3700877504585,0.5185990903775514
232,136.4924964875113,391.0153271432154,36.46775
230,122.72746446648743,392.1104133234062,17.927699999999998
237,169.76743506659437,398.01328775045846,7.6432
238,175.95380330300156,398.2099877504585,0.1967
232,136.4924964875113,398.33580312251956,7.29355
238,175.95380330300156,398.4066877504585,0.1967
240,190.6355149643285,398.8016877504585,0.395
240,190.6355149643285,399.19668775045847,0.395
237,169.76743506659437,400.0400133234062,7.9296
241,197.2378655148384,404.4463877504585,5.2497
241,197.2378655148384,405.7889133234062,5.7489
241,197.2378655148384,406.36268775045846,1.9163
233,145.00308250400266,407.3158268188609,1.4288999999999998
242,205.3612609825928,409.4549877504585,3.0923
242,205.3612609825928,411.9542768188609,4.63845
243,211.06679711379826,418.64375441692994,9.188766666471476
237,169.76743506659437,426.30172714321543,5.2864
239,182.77270139056324,434.3523291250299,6.016526002510325
245,225.05813790280683,436.4341281225728,2.081798997542954
246,232.05827610971676,443.95245865156915,7.518330528996318
242,205.3612609825928,445.0658133234062,39.2769
244,218.18643179086263,449.3744768188609,7.4202
244,218.18643179086263,456.06395441692996,7.4202
244,218.18643179086263,465.57697714321546,9.27525
248,249.06145259702555,480.7145133234062,35.6487
250,261.9798255252005,486.2840133234062,5.5695
248,249.06145259702555,487.1987768188609,7.8243
248,249.06145259702555,491.28015441693,5.2162
250,261.9798255252005,491.8535133234062,5.5695
251,267.4344216321363,494.9734268188609,7.774649999999999
251,267.4344216321363,496.46325441693,5.1831
249,254.52520578322245,496.7464654024814,1.1694882592659763
253,280.12247544691843,501.2080718336366,4.7448174167066215
247,242.2549415682229,507.61281774428187,3.660359092712699
254,287.3689251233889,529.5712154024814,2.82475
255,293.01355453780343,530.1259654024814,0.55475
255,293.01355453780343,530.6807154024814,0.55475
254,287.3689251233889,533.4678718336367,2.2598
254,287.3689251233889,538.1777677442818,0.56495
252,274.762480081073,562.0644268188609,7.090999999999999
256,300.05949907348844,563.0220268188608,0.9575999999999999
252,274.762480081073,572.1135133234062,20.26
256,300.05949907348844,592.0487154024814,1.368
256,300.05949907348844,594.2886718336366,0.8208
257,307.36411475363445,595.9273768188608,2.90535
258,313.9112401984905,597.2537154024815,5.205
258,313.9112401984905,597.4116718336367,3.1229999999999998
256,300.05949907348844,598.4513677442818,0.2736
259,321.66213313926613,605.3417446503005,9.414367831439675
263,350.2215610172297,606.1845946503005,0.84285
263,350.2215610172297,607.0274446503005,0.84285
257,307.36411475363445,607.9242133234062,5.8107
260,329.19218438292216,630.577376077857,3.323660675375603
262,343.08872520305135,632.6939801124278,4.242612368145986
261,335.0534866860735,635.7350481042771,8.323376270640384
265,363.97175286283505,642.8799183307284,4.955705007322198
264,358.75941937150094,646.3927331871754,9.365288536874894
