Order,Starting time,End time,Execution time
111,17.663228288017322,21.756553873076836,4.093325585059513
112,23.79109355853768,25.1191238077261,1.3280302491884228
109,6.2756189840669565,25.252813164586406,18.97719418051945
108,0.0,34.36151994168554,34.36151994168554
113,30.09274653395207,41.878816331357704,11.786069797405633
110,11.984895183241928,50.38093969323259,38.396044509990666
115,44.98774025355861,54.831441583883745,9.843701330325134
118,67.45813809417919,72.92490600334503,5.466767909165836
114,38.676044580220164,72.9957613875596,4.3197168073394385
116,52.21305940639403,84.56917535569877,32.35611594930474
120,80.56363224591263,88.09217990486303,7.528547658950408
122,93.40258556834016,96.37886978875457,2.97628422041441
124,107.25422160636218,113.34685149704282,6.092629890680634
125,114.13171885995034,114.46871527134489,0.33699641139454906
121,86.9491186609373,117.36460381611303,30.415485155175734
119,74.03630373459588,117.52985864848388,13.49355491388801
128,135.47109631086207,136.15644068461395,0.6853443737518988
129,141.7242980336399,165.002566285668,23.27826825202808
123,99.31220690823781,169.45410082854022,10.141893920302419
117,60.44040480314331,172.90667136847628,52.46626656533298
130,148.704582577163,173.8129904267155,8.810424141047477
131,155.04586863357255,203.21953756592993,3.7654367373897104
126,122.4859974815263,205.12380238424677,22.637804902720497
132,162.02825022484976,215.09228034263603,12.185608974159742
133,168.51630924376616,229.8064513984524,25.99346097173692
134,174.74810360203844,233.2865010494472,0.06696348351726265
127,128.3207148727334,234.28122486186305,75.96050998912966
136,188.40763368765138,240.5492884306348,5.425486046388018
137,194.81991814586453,263.1016650815931,18.009384738957074
139,209.50200572082923,267.1850714562111,3.8985704067639104
142,229.06997153570924,271.1471606324853,3.9620891762741652
144,242.45461485575115,274.1201535848002,2.9729929523149266
141,223.14334749016498,279.89744353282936,9.34815510219457
135,182.59931546060423,284.937456833661,25.13100543520859
140,217.72360485080458,288.75182235293863,25.650157271345524
138,202.9851820663713,294.91015282273935,30.62892796087629
145,250.0139686351068,307.51901182849036,3.39885824369012
147,263.5879386906438,317.68790335000125,28.936080997062607
146,256.43395674970213,325.68148808762027,10.7440312539593
143,236.5208633750161,326.80003642645187,16.902592893622526
148,270.2997977964219,335.98287066796746,41.07271784522812
153,307.87622872906076,337.0880664873961,10.288030060944205
151,292.5573273813684,338.19951607656986,0.6805042480794989
154,313.66904608466865,356.90269314051767,19.814626653121593
150,284.89355541385305,366.8241510432608,19.136247693259598
157,335.75835427399375,367.1934783425455,10.290785202027827
155,319.8035362741749,379.1087158484088,10.909199771838939
160,356.6262037386673,384.57137463600174,5.462658787592932
158,341.0999853524427,388.65969223583147,21.83554119257064
149,277.44406611364445,421.7784025510309,36.096914463410656
156,327.4750312054728,427.02572310485414,29.832244762308594
152,300.6737646909637,447.3648045438922,81.38193387592473
159,349.37065984798585,454.60907908957034,10.037704453568615
161,363.4296561490135,456.4576349214826,37.79794268565113
