Order,Starting time,End time,Execution time
0,0.0,0.22918799755931973,0.22918799755931973
1,3.2066088563938235,3.914672807721627,0.7080639513278032
2,6.885438323015084,7.788009912099176,0.9025715890840929
4,14.439820329662876,14.731617712415312,0.2917973827524369
5,16.049413880381245,16.25265354510022,0.20323966471897384
7,22.533743131024977,22.80264208249906,0.26889895147408127
8,25.444607873467305,25.832243454345896,0.38763558087859173
10,34.153398981064065,36.55860642423443,2.4052074431703687
12,39.53653957588145,39.800244866244256,0.26370529036280993
3,9.989330606730755,40.43581020912632,0.4464796023955671
11,36.99051033290628,67.07261905169993,0.08210871879364742
15,47.82643591102891,67.16736885142966,0.09474979972973145
16,51.5220369310409,67.25480059223557,0.08743174080591368
13,41.00714361023601,71.6066520195295,0.5995084092934997
14,44.35234543498135,74.46879659662122,0.11645116163987018
6,20.50553554166972,81.39611313026269,0.8905775885929783
9,31.005517584145913,91.70303051567792,0.6975129315320155
18,58.56573771190175,97.7921737613946,0.5373731691590193
21,68.42075624634056,104.58641855321703,0.11762195659580656
19,62.54515330761315,105.10809484293127,0.5216762897142321
22,70.69306671807709,111.58926857221849,0.193155441955789
31,94.59367535901272,111.69417935886239,0.10491078664389321
32,97.48870224077335,111.80737799555722,0.11319863669482835
26,79.68653405091843,112.07851697360242,0.2711389780452005
25,78.7237586033736,112.39371400281685,0.3151970292144358
29,90.26481344402703,112.68507093027485,0.29135692745800057
30,93.0316371650442,112.94813387340535,0.2630629431305066
20,65.34866441081893,121.94317738523604,0.24014686955811723
24,75.83667781806122,127.89668980586181,0.10451604446721306
35,106.68066290591975,127.98440952530423,0.0877197194424174
33,101.60039072958588,128.12490431141924,0.14049478611500574
34,104.71656922559723,128.27811362354154,0.1532093121223017
36,109.41329184393432,128.4025549414123,0.12444131787075394
37,113.64466066391438,128.5156019492674,0.11304700785511332
38,118.98414281074224,128.7014650593131,0.18586311004572814
39,123.51152692452176,128.7996249922614,0.09815993294830802
40,128.1323132643345,128.9324535980842,0.13282860582279077
41,131.11618062566413,131.20271370343391,0.08653307776978134
17,54.77400970268204,132.258362878755,0.6517108592254841
27,84.00481892516142,135.36510966248773,0.25701481955644195
43,136.02145717217076,136.1428645855028,0.12140741333203402
44,139.678251751805,139.82250936059611,0.14425760879111033
28,86.76763919827256,143.5141614449027,0.5660275714973215
47,147.01700696322658,147.21868173944483,0.20167477621826624
48,150.27322722832778,150.51771413961504,0.24448691128725247
42,133.77833241030177,164.566935545937,0.7886031356352412
50,156.51296068948741,165.47739488779587,0.9104593418588638
51,159.78725960683508,166.0233147489715,0.5459198611756453
46,145.18064186053647,175.45221437847837,0.27157251794189674
55,168.74001913679473,175.4733922447561,0.021177866277722585
23,73.58842525624473,182.38363338029126,0.4404559950552301
49,153.8422985145071,184.12474210388822,0.28244358938113867
52,161.28276300184132,196.91578604672898,0.8924712977574766
45,141.69318474399464,204.01010968443325,2.316924940438621
53,164.70024517624475,205.82949621930752,0.3561039745514043
56,171.05251891863958,212.60075957867235,0.21712619838108516
60,182.8208951318719,227.06573467604989,0.14994862932090086
58,176.2141933588015,234.14206829227442,0.13195860784116728
64,197.45745978390175,234.23240616607973,0.0903378738052987
63,194.67170070764666,234.33325202503366,0.10084585895393332
62,190.62459030028873,234.4583229338142,0.12507090878055388
66,204.94915827539236,234.56226137443167,0.10393844061747849
70,217.7052629320419,234.63284032987158,0.07057895543990331
67,209.5748486965596,234.78787597287763,0.15503564300603292
74,231.3992408626539,234.81937326538375,0.03149729250612431
61,187.26238637451175,236.01866005197627,0.18916383266875897
71,222.1119369839328,236.26604593237798,0.24738588040169948
59,179.58400399670163,242.87325377912185,0.27249420044950934
73,228.66765293245794,243.17337333935552,0.3001195602336695
69,215.72991952840817,243.82461058083751,0.6512372414819885
57,174.1360641048504,244.3054353177691,0.18069321388087597
68,212.57779018133934,257.21953875527714,0.15380407922725411
54,166.66858123746476,265.45615180614635,0.6367785407625917
65,202.0189656433504,266.977841849089,0.7117959167109618
72,226.16100435343543,274.244618658533,0.4200080776954769
84,257.2434696463177,274.36964425897673,0.12502560044375124
87,267.5059597870795,274.4235203401988,0.05387608122207886
76,236.87261711965758,274.5122571948032,0.20682187703406554
78,242.24555092358514,287.3845954580957,0.16505670281854043
80,247.86167191196395,295.4942290894579,0.03807728331155173
81,250.9394246003741,295.6296219137249,0.135392824266999
83,255.66967376693765,295.7619838263425,0.13236191261756056
91,279.2203417242239,295.83489812138305,0.07291429504056718
92,282.25927567709493,295.9029633545707,0.06806523318769019
82,253.0583682723242,297.0570747877228,0.07923293863382473
77,238.8780497252817,304.75880506120643,0.3352847210076385
75,233.26326900393616,304.9702897009417,0.4580325061384515
86,264.7109951740814,305.0549205514558,0.2961154902493339
88,269.2716887518066,305.3421109171896,0.37182121624792125
79,244.70917585295132,317.93990217630983,0.5553067182141127
85,260.98702079847806,326.1528298137901,0.24986645921938835
89,273.2579050373105,327.36542726249047,0.3083524747676549
93,284.7007596617969,335.36317420335934,0.30825365190356924
90,276.38333374196657,335.79439858209633,0.4522876649067329
107,330.74046660687327,335.8182728435217,0.023874261425346557
98,298.6668655937349,348.2943537124983,0.35445153618849295
99,302.21344304135675,356.242713582218,0.08988376842789329
102,312.6466455448669,356.37163406017925,0.12892047796123499
112,344.32890841372284,356.417420128638,0.04578606845873878
103,315.5304695244016,356.57315065901776,0.15573053037975237
106,326.3108940885434,356.7420404179019,0.16888975888410443
111,341.7315814035902,356.8255088160079,0.08346839810603088
108,333.55160620691663,357.01005672205866,0.18454790605074195
