error rate,total produced,production speed [PC / min]
0.030878515511742533,6898,16.82439024390244
0.408207343412527,926,13.228571428571428
0.11483312731767614,8090,16.854166666666668
0.11555115674873191,8083,16.839583333333334
0.11258705184420945,7754,16.154166666666665
0.058875219683655534,7966,16.595833333333335
0.08878968253968254,8064,16.8
0.06155603502982612,7879,16.414583333333333
0.24266365688487584,4430,9.229166666666666
0.08972529432750624,5606,16.8855421686747
0.28556753980482796,1947,13.155405405405405
0.031578947368421054,1235,15.246913580246913
0.09306569343065693,6576,16.481203007518797
0.0352372471695713,7861,16.377083333333335
0.1745585874799358,4984,16.448844884488448
0.25406618059450364,3566,20.146892655367232
0.053520292287943125,10127,21.097916666666666
0.021052631578947368,95,23.75
0.1540590405904059,6504,20.517350157728707
0.10165389269866881,2479,15.59119496855346
0.09013605442176871,8232,17.15
0.07150699972550097,7286,17.183962264150942
0.7432432432432432,666,11.892857142857142
0.05119825708061002,2754,15.215469613259668
0.05995893223819302,4870,16.287625418060202
0.03655061330690125,8071,16.814583333333335
0.11676159479251425,4916,15.267080745341614
0.1401831939466348,2511,15.89240506329114
0.06547793042969892,3421,16.935643564356436
0.5092592592592593,2700,9.712230215827338
0.09520047402725657,10126,21.095833333333335
0.1266910239952602,10127,21.097916666666666
0.11106723269819331,10129,21.102083333333333
0.09873617693522907,10128,21.1
0.09654491609081935,10130,21.104166666666668
0.0455173775671406,10128,21.1
0.06140783887846776,10129,21.102083333333333
0.06015491399255608,9941,21.10615711252654
1.0,49,5.444444444444445
0.2770527181173569,9731,20.272916666666667
0.08969258589511754,8295,23.56534090909091
0.19726729291204098,2342,18.296875
0.06056475170399221,10270,21.395833333333332
0.08531359563693026,10268,21.391666666666666
0.09854903106436849,10269,21.39375
0.06748466257668712,10269,21.39375
0.04450287272373162,10269,21.39375
0.05365141187925998,10270,21.395833333333332
0.07809913331385725,10269,21.39375
0.09006815968841285,10270,21.395833333333332
0.24799010513296227,1617,18.802325581395348
0.0846093662680228,8947,22.70812182741117
0.08072230356271352,10245,23.28409090909091
0.1334178418634131,6311,13.147916666666667
0.011091393078970719,2254,16.94736842105263
0.13472348141432458,5515,15.893371757925072
0.09678615574783683,8090,16.854166666666668
0.09484893511639425,8076,16.825
0.0,27,27.0
0.299578717428616,6409,13.90238611713666
0.5665859564164649,9499,19.789583333333333
0.6159982751185856,4638,9.6625
0.9166666666666666,36,1.6363636363636365
0.1769648397104447,7736,16.116666666666667
0.11188204683434519,8071,16.814583333333335
0.11802111153503751,7863,16.38125
0.10618046971569839,8090,16.854166666666668
0.18646843895678467,7937,16.535416666666666
0.10784434836318715,8095,16.864583333333332
0.09189895470383275,2296,17.134328358208954
0.33992427429533023,4754,13.739884393063583
0.10612650677271032,8047,16.764583333333334
0.19651965196519652,3333,16.833333333333332
0.1713952584531675,5146,20.180392156862744
0.9931506849315068,292,10.814814814814815
0.29004052036681593,4689,9.76875
0.1339672773038736,7151,14.897916666666667
0.19117647058823528,2788,15.234972677595628
0.26842564326210205,4586,15.441077441077441
0.17848504137492044,7855,16.364583333333332
0.14699276266533567,8014,16.695833333333333
0.07142857142857142,126,18.0
0.15649743828598045,6441,20.77741935483871
0.3057366362451108,1534,15.653061224489797
0.49295774647887325,994,15.292307692307693
0.20996746018153795,5839,18.89644012944984
0.1360544217687075,2352,13.75438596491228
0.04455106237148732,1459,16.96511627906977
0.1998149861239593,6486,16.461928934010153
0.21460602178090968,7805,16.260416666666668
0.16718728779030287,7363,15.339583333333334
0.13447613418058224,6767,14.097916666666666
0.16982771101780803,6907,14.389583333333333
0.1434878587196468,4983,10.38125
0.362048549437537,6756,14.075
0.2518703241895262,1203,15.0375
0.08895800933125972,6430,16.075
0.1665886757136172,2137,16.06766917293233
0.3847072879330944,5022,14.472622478386167
0.13035749555599446,10126,21.095833333333335
0.3099634640071097,10127,21.097916666666666
0.1713241828774563,10127,21.097916666666666
0.08708530805687204,10128,21.1
0.060339719533873196,10126,21.095833333333335
0.20394620421164394,11302,23.545833333333334
0.15596249115357397,11304,23.55
0.09333805184464301,11303,23.547916666666666
0.21536011325429127,11302,23.545833333333334
0.12597448618001417,11288,23.516666666666666
0.06824846707544655,11253,23.44375
0.06975917533102284,11253,23.44375
0.06436277198756628,5469,23.472103004291846
0.17762613730355667,4836,19.57894736842105
0.09041969893330674,10031,20.897916666666667
0.11740890688259109,9880,20.583333333333332
0.10099713693355711,10129,21.102083333333333
0.06135057471264368,6960,21.09090909090909
0.7853107344632768,354,2.36
0.13462084635046861,7042,14.670833333333333
0.06388059701492538,1675,15.227272727272727
0.5261561789234268,1319,17.12987012987013
0.2995744680851064,3525,12.030716723549489
0.10317460317460317,504,17.379310344827587
0.10635451505016723,5980,18.513931888544892
0.20096076861489193,2498,19.515625
0.04494930988151948,8187,20.938618925831204
0.36173285198555954,1385,15.561797752808989
0.10629274965800274,7310,15.229166666666666
1.0,617,1.2854166666666667
0.3032239603204884,10484,21.841666666666665
0.15277631440311876,9491,19.772916666666667
0.13452914798206278,2007,23.06896551724138
0.7356104925457634,5299,13.483460559796438
0.5272853185595567,7220,19.460916442048518
0.21568910719445247,6922,14.420833333333333
0.13465645019469916,7961,16.585416666666667
0.18707653701380175,7970,16.604166666666668
0.15452041071875783,7986,16.6375
0.1103088648215002,4986,16.901694915254236
0.10433918516064922,3019,16.318918918918918
0.09385433411648325,8087,16.847916666666666
0.1399156536839494,8062,16.795833333333334
0.1252847380410023,3073,16.884615384615383
0.47703180212014135,2547,8.546979865771812
0.08425288848500584,7703,16.047916666666666
0.1913154533844189,7830,16.3125
0.18330513254371122,10638,22.1625
0.11976899155930698,11255,23.447916666666668
0.1018395094641429,11253,23.44375
0.16146805296365413,11253,23.44375
0.021505376344086023,93,31.0
0.26176241226930075,3847,12.330128205128204
0.2528684907325684,2266,13.733333333333333
0.10357496114172672,7077,14.74375
0.09138012246820537,2123,15.273381294964029
0.07984069789493647,5273,15.463343108504398
0.1046101447512468,8221,17.127083333333335
0.04990403071017274,1563,17.175824175824175
0.13014566181127296,6316,16.236503856041132
0.08312716476991588,8084,16.841666666666665
0.17574257425742573,8080,16.833333333333332
0.09759391112202308,8146,16.970833333333335
0.11621808143547274,7245,17.04705882352941
0.38935574229691877,714,12.981818181818182
0.07058968970206453,8089,16.852083333333333
0.17024444720188608,8059,16.789583333333333
0.09148880791254554,7684,16.008333333333333
0.09676190476190476,7875,16.40625
0.06799007444168735,8060,16.791666666666668
0.09555638074019061,8079,16.83125
0.09821428571428571,5040,16.416938110749186
0.5388235294117647,2550,14.739884393063583
0.15783629441624367,6304,13.133333333333333
0.19480122324159022,3270,19.464285714285715
0.11877962085308057,10128,21.1
0.08129517774037033,10099,21.039583333333333
0.04552590266875981,1274,21.233333333333334
0.23121951219512196,3075,15.147783251231527
0.4866189219751225,2653,12.225806451612904
0.2696353436185133,2852,10.222222222222221
0.5115574081091322,2639,13.129353233830846
0.19773855488141204,7252,15.108333333333333
0.22032890826233406,5047,15.110778443113773
1.0,1349,9.23972602739726
0.1161252098350943,10127,21.097916666666666
0.06783175355450237,10128,21.1
0.120197467267654,9318,19.4125
0.0879652482969691,10129,21.102083333333333
0.05449698884391352,10129,21.102083333333333
0.14547952047952048,8008,21.12928759894459
0.23036047680597443,6963,14.50625
0.13601321585903084,7264,15.133333333333333
0.19093311083298567,7191,14.98125
0.16679779701022818,1271,15.313253012048193
0.2569635751453933,6534,16.45843828715365
0.33043014575186636,5626,11.720833333333333
0.2469305938361313,7982,16.629166666666666
0.3290086912709409,7939,16.539583333333333
0.28751525010166734,7377,16.57752808988764
1.0,239,6.828571428571428
0.3066745074977948,3401,16.920398009950247
0.34360609280906834,2823,10.118279569892474
0.21659894101711613,8121,16.91875
0.15930599369085174,8242,17.170833333333334
0.1134020618556701,1455,17.321428571428573
0.3218253290035891,5851,14.775252525252526
0.09572226802235047,10917,22.74375
0.13707165109034267,10914,22.7375
0.09932300843920987,10783,22.464583333333334
0.16400952904526298,10914,22.7375
0.20630992885864521,9699,22.29655172413793
0.14126563784129303,10951,22.814583333333335
0.10641597208761387,5159,23.557077625570777
0.14129810453762207,5223,20.011494252873565
0.14466278266021526,10127,21.097916666666666
0.07712056877653797,10127,21.097916666666666
0.12903544278803436,10129,21.102083333333333
0.07475066653500544,10127,21.097916666666666
0.06285796105383734,6984,21.163636363636364
0.1690606330240244,7867,16.389583333333334
0.44221311475409836,4880,10.166666666666666
0.28903225806451616,7750,16.145833333333332
0.198943661971831,7952,16.566666666666666
0.189346187121493,8091,16.85625
0.1778565999493286,7894,16.445833333333333
0.29352396972245587,7134,14.8625
0.3465544300185476,7009,14.602083333333333
0.4328757951121527,5974,15.16243654822335
0.38750489109169167,7667,15.972916666666666
0.187593933597486,7319,15.247916666666667
0.13608538690943336,6371,16.67801047120419
0.47484094852515907,1729,17.642857142857142
0.06664022213407378,2521,21.18487394957983
0.10474281897127588,7485,20.734072022160664
0.1814852492370295,9830,20.479166666666668
0.05775922059846903,4311,21.13235294117647
0.22973322973322974,3861,13.98913043478261
0.15512048192771086,664,17.473684210526315
0.2918412964515228,7158,16.194570135746606
0.19124737297564595,8089,16.852083333333333
0.2261949099937927,8055,16.78125
0.23780487804878048,2296,16.88235294117647
0.3787216323131376,4803,13.962209302325581
0.2277869002006933,10962,22.8375
0.12596424357927216,11019,22.95625
0.1802957420274363,11226,23.3875
0.09887760555852486,11226,23.3875
0.07714922048997773,11225,23.385416666666668
0.061202672605790646,11225,23.385416666666668
0.11788357854336105,10943,22.797916666666666
1.0,74,0.15416666666666667
0.19009407858328722,10842,22.5875
0.10336733772682134,11077,23.077083333333334
0.06530575377111372,11071,23.064583333333335
