Line,shift,Code,IO parts,NIO parts,Material,Speed,Profile,start date,start time,end date,end time,start datetime,end datetime,total produced,error rate,time span,production speed [PC / min]
103,late,3058,9803,1263,ND,22m,143.xxx,29/03/2022,13:55:00,29/03/2022,21:55:00,2022-03-29 13:55:00,2022-03-29 21:55:00,11066,0.11413338152900777,480.0,23.054166666666667
103,night,3058,9876,1189,ND,22m,143.xxx,29/03/2022,21:55:00,30/03/2022,05:55:00,2022-03-29 21:55:00,2022-03-30 05:55:00,11065,0.10745594215996385,480.0,23.052083333333332
103,early,3058,9489,1240,ND,22m,143.xxx,30/03/2022,05:55:00,30/03/2022,13:55:00,2022-03-30 05:55:00,2022-03-30 13:55:00,10729,0.11557461086774164,480.0,22.352083333333333
103,late,3058,9272,1362,ND,22m,143.xxx,30/03/2022,13:55:00,30/03/2022,21:55:00,2022-03-30 13:55:00,2022-03-30 21:55:00,10634,0.12807974421666354,480.0,22.154166666666665
103,night,3058,7073,1299,ND,22m,143.xxx,30/03/2022,21:55:00,31/03/2022,04:04:00,2022-03-30 21:55:00,2022-03-31 04:04:00,8372,0.15516005733397037,369.0,22.688346883468835
103,night,3058,3060,588,ND,22m,143.xxx,14/04/2022,01:15:00,14/04/2022,05:55:00,2022-04-14 01:15:00,2022-04-14 05:55:00,3648,0.1611842105263158,280.0,13.028571428571428
103,early,3058,9966,818,ND,22m,143.xxx,14/04/2022,05:55:00,14/04/2022,13:55:00,2022-04-14 05:55:00,2022-04-14 13:55:00,10784,0.07585311572700297,480.0,22.466666666666665
103,late,3058,9749,1217,ND,22m,143.xxx,14/04/2022,13:55:00,14/04/2022,21:55:00,2022-04-14 13:55:00,2022-04-14 21:55:00,10966,0.11097939084442823,480.0,22.845833333333335
103,night,3058,10018,946,ND,22m,143.xxx,14/04/2022,21:55:00,15/04/2022,05:55:00,2022-04-14 21:55:00,2022-04-15 05:55:00,10964,0.08628237869390733,480.0,22.841666666666665
103,early,3058,10150,814,ND,22m,143.xxx,15/04/2022,05:55:00,15/04/2022,13:55:00,2022-04-15 05:55:00,2022-04-15 13:55:00,10964,0.0742429770156877,480.0,22.841666666666665
103,late,3058,9631,1119,ND,22m,143.xxx,15/04/2022,13:55:00,15/04/2022,21:55:00,2022-04-15 13:55:00,2022-04-15 21:55:00,10750,0.10409302325581396,480.0,22.395833333333332
103,night,3058,9683,1281,ND,22m,143.xxx,15/04/2022,21:55:00,16/04/2022,05:55:00,2022-04-15 21:55:00,2022-04-16 05:55:00,10964,0.11683692083181321,480.0,22.841666666666665
103,early,3058,10071,630,ND,22m,143.xxx,16/04/2022,05:55:00,16/04/2022,13:43:00,2022-04-16 05:55:00,2022-04-16 13:43:00,10701,0.05887300252312868,468.0,22.865384615384617
103,early,3057,7865,1745,ND,20m,79.xxx,19/04/2022,05:55:00,19/04/2022,13:55:00,2022-04-19 05:55:00,2022-04-19 13:55:00,9610,0.18158168574401665,480.0,20.020833333333332
103,late,3057,7923,648,ND,20m,79.xxx,19/04/2022,13:55:00,19/04/2022,21:55:00,2022-04-19 13:55:00,2022-04-19 21:55:00,8571,0.07560378018900946,480.0,17.85625
103,night,3058,9080,1911,ND,22m,143.xxx,15/05/2022,21:55:00,16/05/2022,05:55:00,2022-05-15 21:55:00,2022-05-16 05:55:00,10991,0.17386952961513966,480.0,22.897916666666667
103,early,3058,2059,658,ND,22m,143.xxx,16/05/2022,05:55:00,16/05/2022,07:53:00,2022-05-16 05:55:00,2022-05-16 07:53:00,2717,0.24217887375782113,118.0,23.02542372881356
103,early,3057,5346,1884,ND,20m,79.xxx,16/05/2022,07:53:00,16/05/2022,13:55:00,2022-05-16 07:53:00,2022-05-16 13:55:00,7230,0.26058091286307056,362.0,19.972375690607734
103,late,3057,8728,959,ND,20m,79.xxx,16/05/2022,13:55:00,16/05/2022,21:55:00,2022-05-16 13:55:00,2022-05-16 21:55:00,9687,0.09899865799525137,480.0,20.18125
103,night,3057,9710,276,ND,20m,79.xxx,16/05/2022,21:55:00,17/05/2022,05:55:00,2022-05-16 21:55:00,2022-05-17 05:55:00,9986,0.02763869417184058,480.0,20.804166666666667
103,early,3057,3337,114,ND,20m,79.xxx,17/05/2022,05:55:00,17/05/2022,08:40:00,2022-05-17 05:55:00,2022-05-17 08:40:00,3451,0.033033903216459,165.0,20.915151515151514
103,night,3058,9000,1652,ND,22m,143.xxx,29/05/2022,21:55:00,30/05/2022,05:55:00,2022-05-29 21:55:00,2022-05-30 05:55:00,10652,0.15508824633871574,480.0,22.191666666666666
103,early,3058,6705,3547,ND,22m,143.xxx,30/05/2022,05:55:00,30/05/2022,13:55:00,2022-05-30 05:55:00,2022-05-30 13:55:00,10252,0.3459812719469372,480.0,21.358333333333334
103,late,3058,2718,2200,ND,22m,143.xxx,30/05/2022,13:55:00,30/05/2022,21:55:00,2022-05-30 13:55:00,2022-05-30 21:55:00,4918,0.4473363155754372,480.0,10.245833333333334
103,night,3058,4064,6580,ND,22m,143.xxx,30/05/2022,21:55:00,31/05/2022,05:55:00,2022-05-30 21:55:00,2022-05-31 05:55:00,10644,0.6181886508831267,480.0,22.175
103,early,3058,9798,1199,ND,22m,143.xxx,31/05/2022,05:55:00,31/05/2022,13:55:00,2022-05-31 05:55:00,2022-05-31 13:55:00,10997,0.10902973538237701,480.0,22.910416666666666
103,late,3058,10503,489,ND,22m,143.xxx,31/05/2022,13:55:00,31/05/2022,21:55:00,2022-05-31 13:55:00,2022-05-31 21:55:00,10992,0.04448689956331878,480.0,22.9
103,night,3058,10077,915,ND,22m,143.xxx,31/05/2022,21:55:00,01/06/2022,05:55:00,2022-05-31 21:55:00,2022-06-01 05:55:00,10992,0.08324235807860263,480.0,22.9
103,early,3058,9791,1201,ND,22m,143.xxx,01/06/2022,05:55:00,01/06/2022,13:55:00,2022-06-01 05:55:00,2022-06-01 13:55:00,10992,0.1092612809315866,480.0,22.9
